L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
1966;PL080-0221;Trzepotanie usterzeń to inaczej:;buffeting;drgania giętno- skrętne;flatter lotkowy;flatter usterzenia
1967;PL080-0222;Ujemny skos skrzydła powoduje:;zmniejszenie stateczności statycznej podłużnej;zwiększenie stateczności statycznej podłużnej;zmniejszenie stateczności statycznej podłużnej na dodatnich kątach natarcia, a zwiększenie na ujemnych;zwiększenie stateczności statycznej podłużnej na dodatnich kątach natarcia, a zmniejszenie na ujemnych
1968;PL080-0223;Usterzenie kierunku zaprojektowane jest w celu obracania płatowca względem:;ośi OZ›;ośi OX›;ośi OY›;ośi OX› i ośi OY›
1969;PL080-0224;Usterzenie wysokości zaprojektowane jest w celu obracania płatowca względem:;ośi OY›;ośi OZ›;ośi OX›;ośi OZ› i ośi OX›
1970;PL080-0225;W celu zlikwidowania momentu oporowego lotek z reguły stosuje się:;różnicowe wychylenie lotek;dodatkowe wychylenia klapo- lotek;wychylenie lotek o dokładnie ten sam kąt;jak najmniejsze wychylenia lotek
1971;PL080-0226;W codziennym życiu spotykamy się ze stanem równowagi:;"- stałej ; - obojętnej; - chwiejnej";"- stałej ; - chwiejnej; - ruchomej";"- stałej ; - obojętnej; - ruchomej";"- nieobojętnej; - obojętnej; - chwiejnej"
1972;PL080-0227;W jakich warunkach wysokość gęstościowa jest równa wysokości standardowej wg atmosfery ISA?;W warunkach zgodnych z tabelą Międzynarodowej Atmosfery Wzorcowej ISA;W warunkach tropikalnych;W warunkach arktycznych;Gdy wysokość standardowa jest równa wysokości elewacji lotniska
1973;PL080-0228;W jakiej proporcji do gęstości powietrza są zależne siły aerodynamiczne na profilu lotniczym?;Wprost proporcjonalnie;Odwrotnie proporcjonalnie;W proporcji do kwadratu gęstości;Są od gęstości powietrza niezależne
1974;PL080-0229;W której grupie znajduje się urządzenie, które nie służy do zmniejszania sił, jakie pilot musi wywierać na drążek sterowy?;"- wyważenie masowe; - klapka wyważająca";"- fletner; - trymer";"- wyważenie aerodynamiczne; - wyważenie sprężynowe";"- wzmacniacz hydrauliczny; - klapka odciążająca"
1975;PL080-0230;W normalnych warunkach lotu siły na sterownicach są :;zawsze odpowiednio proporcjonalne do zmian ruchu lub zmian stanu lotu;zawsze odpowiednio proporcjonalne do wysokości i prędkości lotu;niezależne od prędkości lotu;niezależne od wywoływanych zmian ruchu lub zmian stanu lotu
1976;PL080-0231;W profilach o normalnym, łukowatym kształcie linii szkieletowej, przy wzroście kąta natarcia wypadkowa siła aerodynamiczna:;przesuwa się wzdłuż cięciwy do przodu;przesuwa się wzdłuż cięciwy do tyłu;dla α<0 przesuwa się wzdłuż cięciwy do przodu, a dla α>0 przesuwa się wzdłuż cięciwy do tyłu;nie przesuwa się wzdłuż cięciwy
1977;PL080-0232;W profilach samostatecznych, przy wzroście kąta natarcia wypadkowa siła aerodynamiczna:;przesuwa się wzdłuż cięciwy do tyłu;dla α<0 przesuwa się wzdłuż cięciwy do przodu, a dla α>0 przesuwa się wzdłuż cięciwy do tyłu;nie przesuwa się wzdłuż cięciwy;przesuwa się wzdłuż cięciwy do przodu
1978;PL080-0233;W profilach symetrycznych dla kąta natarcia α=0°:;cięciwa geometryczna profilu pokrywa się z cięciwą aerodynamiczną profilu;cięciwa geometryczna profilu nie pokrywa się z cięciwą aerodynamiczną profilu;cięciwa geometryczna profilu pokrywa się ze średnią cięciwą aerodynamiczną profilu;cięciwa geometryczna profilu nie pokrywa się ze średnią cięciwą aerodynamiczną profilu
1979;PL080-0234;W profilach symetrycznych, przy wzroście kąta natarcia wypadkowa siła aerodynamiczna:;nie przesuwa się wzdłuż cięciwy;przesuwa się wzdłuż cięciwy do przodu;przesuwa się wzdłuż cięciwy do tyłu;dla α<0 przesuwa się wzdłuż cięciwy do przodu, a dla α>0 przesuwa się wzdłuż cięciwy do tyłu
1980;PL080-0235;W rozwiązaniu konwencjonalnym usterzenie pionowe składa się ze:;-statecznika pionowego stanowiącego przednią, nieruchomą część-steru kierunku stanowiącego tylną ruchomą część;-statecznika pionowego stanowiącego przednią, nieruchomą część- steru wysokości stanowiącego tylną ruchomą część;-statecznika pionowego stanowiącego tylną, nieruchomą część- steru kierunku stanowiącego przednią ruchomą część;-statecznika pionowego stanowiącego przednią, ruchomą część-steru kierunku stanowiącego tylną nieruchomą część
1981;PL080-0237;W układzie współrzędnych opisującym ruch statku powietrznego podczas lotu oś OX? nazywamy:;osią podłużną;osią poprzeczną;osią pionową;osią poziomą
1982;PL080-0238;W układzie współrzędnych opisującym ruch statku powietrznego podczas lotu oś OY? nazywamy:;osią poprzeczną;osią pionową;osią poziomą;osią podłużną
1983;PL080-0239;W układzie współrzędnych opisującym ruch statku powietrznego podczas lotu oś OZ? nazywamy:;osią pionową;osią poziomą;osią podłużną;osią poprzeczną
1984;PL080-0240;W ustalonym locie pilot wychyla drążek sterowy w prawo. Zakładając, że lotki wychylą się o ten sam kąt, prawdziwe będzie stwierdzenie:;siła oporu na lotce wychylonej w dół będzie większa od siły oporu na drugiej lotce;siła oporu na lotce wychylonej w dół będzie mniejsza od siły oporu na drugiej lotce;siły oporu na obu lotkach wzrosną o tą samą wartość;siły oporu na obu lotkach zmaleją o tą samą wartość
1985;PL080-0241;W wyniku wychylenia lotek w górę i w dół o ten sam kąt powstaje:;niekorzystny moment oporowy lotek;korzystny moment oporowy lotek;niekorzystny moment przechylający;korzystny moment odchylający
1986;PL080-0242;W wyniku zastosowania na końcówkach skrzydeł tak zwanych wingletów maleje opór:;indukowany;interferencyjny;kształtu;szczelinowy
1987;PL080-0243;Warstwa przyścienna profilu lotniczego to warstwa w której:;prędkość cząsteczek powietrza jest mniejsza od prędkości przepływu;zachodzi przejście z opływu turbulentnego w laminarny;przepływ ma charakter laminarny;przepływ ma charakter turbulentny
1988;PL080-0245;Wartość współczynnika siły nośnej Cz dla krytycznego kąta natarcia ‘α kr’ przyjmuje wartość maksymalną.;zawsze prawda;zawsze fałsz;prawda tylko dla profili symetrycznych;fałsz tylko dla profili symetrycznych
1989;PL080-0246;Wartość współczynnika siły oporu Cx dla krytycznego kąta natarcia ‘α kr’ przyjmuje wartość maksymalną.;zawsze fałsz;zawsze prawda;prawda tylko dla profili symetrycznych;fałsz tylko dla profili symetrycznych
1990;PL080-0248;Wewnętrzna kompensacja aerodynamiczna steru odbywa się poprzez zastosowanie:;przepony, która jednocześnie zmniejsza opór szczelinowy;dodatkowej powierzchni sterowej przed osią obrotu steru;klapki dociążającej;klapki odciążającej
1991;PL080-0250;Wraz ze wzrostem wysokości gęstość powietrza:;zawsze maleje;zawsze rośnie;nie zmienia się;maleje - jeżeli temperatura maleje, a rośnie – jeżeli temperatura wzrasta
1992;PL080-0251;"Współczynnik przeciążenia ""n"" w locie nurkowym wynosi:";n=0;n<0;n>0;n=1
1993;PL080-0252;Współczynnik przeciążenia w zakręcie zależy od:;Kąta przechylenia i prędkości lotu;Prędkości lotu;Wielkości oporu;Oporu indukowanego
1994;PL080-0253;Wychylenie którego urządzenia nie jest sprzężone mechanicznie z wychyleniami powierzchni sterowej?;klapki wyważającej;flettnera;klapki dociążającej;klapka odciążającej
1995;PL080-0255;Wykres zależności Cx = f(α) dla profilu symetrycznego jest:;"symetryczny względem osi ""Cx""";symetryczny względem osi ‘α’;symetryczny względem środka układu współrzędnych;nie posiada żadnej symetrii
1996;PL080-0256;Wykres zależności Cz = f(Cx) dla profilu symetrycznego jest:;"symetryczny względem osi ""Cx""";"symetryczny względem osi ""Cz""";symetryczny względem środka układu współrzędnych;nie posiada żadnej symetrii
1997;PL080-0257;Wykres zależności Cz = f(Cx) wykonany na podstawie pomiarów w czasie lotu nazywamy:;biegunową szybowca;biegunową prędkości szybowca;biegunową profilu;biegunową skrzydła
1998;PL080-0258;Wykres zależności Cz = f(α) dla profilu symetrycznego jest:;symetryczny względem środka układu współrzędnych;symetryczny względem osi ‘α’;"symetryczny względem osi ""Cz""";nie posiada żadnej symetrii
1999;PL080-0259;Wykresy jakich zależności dla profilu symetrycznego przechodzą przez środek układu współrzędnych?;Cz = f(α), Cm = f(α);Cz = f(α), Cx = f(α);Cx = f(α), Cm = f(α);Cz = f(α), Cz = f(Cx)
2000;PL080-0260;Wykresy jakich zależności dla profilu symetrycznego są osiowosymetryczne ?;Cx = f(α), Cz = f(Cx);tylko Cx = f(α);Cz = f(α), Cx = f(α);tylko Cz = f(Cx)
2001;PL080-0261;Wznios skrzydeł stosowany jest w celu:;zwiększenia stateczności poprzecznej szybowca;zwiększenia doskonałości szybowca;poprawienia sterowności poprzecznej szybowca;zmniejszenia oporu indukowanego szybowca
2002;PL080-0262;Wzrost temperatury powietrza na stałej wysokości powoduje:;zmniejszenie gęstości powietrza;wzrost gęstości powietrza;nie powoduje zmian gęstości i wilgotności względnej powietrza;wzrost wilgotności względnej powietrza
2003;PL080-0263;Z jakich głównych elementów powstaje opór statku powietrznego zwany „szkodliwym”?;Z „oporu kształtu” bryły statku powietrznego i z „oporu tarcia” powietrza o powierzchnię tej bryły;Z lepkości powietrza i z oporów wirów powstających na bryle statku;Z „oporu kształtu” bryły statku powietrznego i z „oporu indukowanego” powstającego na powierzchni bryły statku;Z „oporu tarcia” powietrza o powierzchnię bryły statku powietrznego i z „oporu interferencyjnego”
2004;PL080-0265;Zasada ciągłości ruchu powietrza przepływającego przez tunel o zmiennym przekroju mówi, że:;jeżeli przekrój poprzeczny tunelu dwukrotnie się zwiększy, to prędkość powietrza zmaleje dwukrotnie;jeżeli przekrój poprzeczny tunelu dwukrotnie się zwiększy, to prędkość powietrza wzrośnie dwukrotnie;jeżeli przekrój poprzeczny tunelu dwukrotnie się zwiększy, to prędkość powietrza zmaleje czterokrotnie;jeżeli przekrój poprzeczny tunelu dwukrotnie się zwiększy, to prędkość powietrza wzrośnie czterokrotnie
2005;PL080-0266;Zastosowanie kompensacji aerodynamicznej steru ma za zadanie:;zmniejszenie momentu zawiasowego;zwiększenie momentu zawiasowego;wyważenie powierzchni sterowej w pozycji neutralnej;wyważenie masowe powierzchni sterowej
2006;PL080-0269;Zdolność do zmiany stanu ustalonego lotu pod wpływem wychylenia odpowiedniego steru nazywamy;sterownością;statecznością statyczną;statecznością dynamiczną;stabilnością
2007;PL080-0270;Zewnętrzna kompensacja aerodynamiczna steru odbywa się poprzez zastosowanie:;dodatkowej powierzchni sterowej przed osią obrotu steru;klapki dociążającej;klapki odciążającej;flettnera
2008;PL080-0271;Zjawisko odwrotnego działania lotek polega na:;skręceniu skrzydła spowodowanym wychyleniem lotki;powstawaniu drgań samowzbudnych;powstawaniu buffetingu;krzyżowym połączeniu napędu lotek
2009;PL080-0272;Zwężenie przekroju strugi powietrza oznacza:;Malenie statycznego ciśnienia w strudze i wzrost prędkości (+);wzrost statycznego ciśnienia w strudze i malenie prędkości;wyhamowanie prędkości strugi;wzrastanie w strudze ciśnienia spiętrzeniowego
2010;PL080-0273;Zwichrzenie aerodynamiczne skrzydła charakteryzuje się tym, że:;na końcówkach skrzydeł stosuje się profile, na których oderwanie strug dla αkryt jest mniej intensywne;cięciwy profilów geometrycznych w kolejnych przekrojach nie leżą w jednej płaszczyźnie;skrzydła wygięte są w dół podczas postoju szybowca na ziemi;skrzydła wygięte są w górę podczas lotu
2011;PL080-0274;Zwichrzenie geometryczne skrzydła charakteryzuje się tym, że:;cięciwy profili geometrycznych w kolejnych przekrojach nie leżą w jednej płaszczyźnie;skrzydła wygięte są w dół podczas postoju szybowca na ziemi;skrzydła wygięte są w górę podczas lotu;na końcówkach skrzydeł stosuje się profile, na których oderwanie strug dla αkryt jest mniej intensywne
2012;PL080-0275;Zwiększająca się siła nośna na skrzydle powoduje zmianę oporu indukowanego na:;większy;mniejszy;nie ma wpływu na opór indukowany;mniejszy lub większy w zależności od prędkości lotu
2013;PL080-0276;Zwiększanie kąta natarcia α > α kr powoduje:;"zwiększanie ""Cx"" oraz zmniejszanie ""Cz""";"zwiększanie ""Cz"" oraz zmniejszanie ""Cx""";"zwiększanie ""Cx"" oraz ""Cz""";"zmniejszanie ""Cx"" oraz ""Cz"""
2014;PL080-0277;"Aby obliczyć moment ""M"" działający na ciało ""D"", wywołany działaniem siły ""P"" należy skorzystać ze wzoru:";M=P*l*sinα;M=P*l*cosα;M=P*l*tgα;M=P*l
2015;PL080-0278;Aby wyprowadzić szybowiec z wyślizgu w zakręcie i wykonać zakręt prawidłowy należy:;zwiększyć przechylenie lub zmniejszyć prędkość kątową zakrętu;zmniejszyć przechylenie lub zwiększyć prędkość kątową zakrętu;zwiększyć przechylenie lub zwiększyć prędkość kątową zakrętu;zmniejszyć przechylenie lub zmniejszyć prędkość kątową zakrętu
2016;PL080-0279;Aby wyprowadzić szybowiec z ześlizgu w zakręcie i wykonać zakręt prawidłowy należy:;zmniejszyć przechylenie lub zwiększyć prędkość kątową zakrętu;zwiększyć przechylenie lub zwiększyć prędkość kątową zakrętu;zmniejszyć przechylenie lub zmniejszyć prędkość kątową zakrętu;zwiększyć przechylenie lub zmniejszyć prędkość kątową zakrętu
2017;PL080-0280;Biegunowa prędkości szybowca to wykres zależności:;opadania od prędkości w=f(u);wsp. siły nośnej od wsp. siły oporuCz= f(Cx);wsp. siły nośnej od kąta natarcia Cz=f(a);opadania od prędkości w=f(a)
2018;PL080-0282;"Co to za zasada?: „W tunelu przez który przepływa powietrze iloczyn pola przekroju i prędkości powietrza jest stały S*v=const""";zasada ciągłości ruchu;zasada Bernouli’ego;prawo Bernouli’ego;zasada zachowania pędu
2019;PL080-0283;Co to za zasada?: „W tunelu, przez który przepływa powietrze, suma ciśnienia statycznego i dynamicznego jest stała w każdym punkcie tego przepływu”;prawo Bernouli’ego;zasada ciągłości ruchu;zasada zachowania energii przepływu;zasada zachowania ciśnienia przepływu zamkniętego
2020;PL080-0285;Dla opisania ruchów statku powietrznego (samolotu, śmigłowca, szybowca etc) w przestrzeni stosowany jest układ osi współrzędnych x-y- z. Jakie oznaczenie nosi oś pionowa?;z;x;y;dowolne
2021;PL080-0286;Dla opisania ruchów statku powietrznego (samolotu, śmigłowca, szybowca etc) w przestrzeni stosowany jest układ osi współrzędnych x-y- z. Jakie oznaczenie nosi oś podłużna?;x;y;z;nie ma oznaczenia
2022;PL080-0287;Dla opisania ruchów statku powietrznego (samolotu, śmigłowca, szybowca etc) w przestrzeni stosowany jest układ osi współrzędnych x-y- z. Jakie oznaczenie nosi oś poprzeczna?;y;x;z;dowolne
2023;PL080-0288;Doskonałość szybowca jest równa:;zasięgowi szybowca z wysokości 1000m w spokojnym powietrzu, wyrażonym w kilometrach;zasięgowi szybowca w spokojnym powietrzu, wyrażonym w kilometrach;"zasięgowi szybowca z wysokości ""H"" w spokojnym powietrzu, wyrażonym w kilometrach";"zasięgowi szybowca z wysokości ""H"" w spokojnym powietrzu"
2024;PL080-0289;Gdy powietrze przepływa przez kanał o zmiennej powierzchni przekroju zmienia się w nim ciśnienie statyczne. Jak?;zmniejsza się przy zmniejszaniu powierzchni przekroju;zmniejsza się przy zwiększaniu powierzchni przekroju;nie zmienia się wcale;zwiększa się przy maleniu powierzchni przekroju
2025;PL080-0290;Jak się zachowuje obiekt (samolot, śmigłowiec, szybowiec, lotnia etc) niestateczny dynamicznie po wytrąceniu z równowagi?;Obiekt wykonuje ruch, najczęściej harmoniczny, o rosnącej amplitudzie;Obiekt wykonuje ruch, najczęściej harmoniczny, o malejącej amplitudzie;Obiekt zachowuje położenie po wytrąceniu z równowagi;Obiekt przyjmuje pozycję coraz bardziej odległą od położenia równowagi
2026;PL080-0291;Jak się zachowuje obiekt (samolot, śmigłowiec, szybowiec, lotnia etc) stateczny dynamicznie po wytrąceniu z równowagi?;Obiekt wykonuje ruch, najczęściej harmoniczny, o malejącej amplitudzie;Obiekt zachowuje położenie, do którego doszedł po wytrąceniu z równowagi;Wykonuje ruch, najczęściej harmoniczny, o rosnącej amplitudzie;Natychmiast po ustaniu impulsu wytrącającego powraca do pozycji równowagi
2027;PL080-0292;Jak zachowuje się szkodliwy opór przy wzroście prędkości lotu?;Wzrasta z kwadratem prędkości;Pozostaje stały;Maleje proporconalnie do odwrotności prędkości;Waha się
2028;PL080-0293;Jak zachowuje się szkodliwy opór przy wzroście prędkości lotu?;Opór wzrasta z kwadratem prędkości;Opór pozostaje stały;Opór maleje proporcjonalnie do odwrotności prędkości;Opór waha się
2029;PL080-0294;Jak zmieni się siła odśrodkowa przy tej samej prędkości lotu w zakręcie jeśli zmniejszy się jego promień?;Zwiększy się;Zmniejszy się;Pozostanie bez zmiany;Zmaleje do zera
2030;PL080-0295;Jak zmieni się siła odśrodkowa przy tej samej prędkości lotu w zakręcie jeśli zmniejszy się jego promień?;Siła odśrodkowa zwiększy się;Siła odśrodkowa zmniejszy się;Siła odśrodkowa pozostanie bez zmiany;Siła odśrodkowa zmaleje do zera
2031;PL080-0301;Jeżeli autorotacja skrzydła nie zostanie zahamowana przez pilota, to:;szybowiec samoczynnie przejdzie w fazę lotu zwaną korkociągiem;szybowiec samoczynnie przejdzie w fazę lotu zwaną przeciągnięciem statycznym;szybowiec samoczynnie przejdzie w fazę lotu zwaną przeciągnięciem dynamicznym;szybowiec samoczynnie przejdzie w fazę ustalonego lotu nurkowego
2032;PL080-0303;Jeżeli środek ciężkości szybowca pokrywa się ze środkiem równowagi obojętnej to:;szybowiec nie jest stateczny i nie jest niestateczny;szybowiec jest stateczny;szybowiec jest niestateczny;szybowiec jest niesterowny
2033;PL080-0304;Jeżeli środek ciężkości szybowca z profilem klasycznym znajduje się przed środkiem równowagi obojętnej to:;szybowiec jest stateczny;szybowiec jest niestateczny;szybowiec jest statycznie obojętny;szybowiec nie jest stateczny i nie jest niestateczny
2034;PL080-0305;Jeżeli środek ciężkości szybowca z profilem klasycznym znajduje się za środkiem równowagi obojętnej to:;szybowiec jest niestateczny;szybowiec jest niesterowny;szybowiec jest stateczny;szybowiec nie jest stateczny i nie jest niestateczny
2035;PL080-0306;Kąt toru lotu na stałym kącie natarcia ‘α’ podczas wzrostu wysokości:;pozostaje niezmieniony;wzrasta;maleje;zmienia się i można go odczytać wykreślając biegunową szybowca
2036;PL080-0307;Lot odbywa się na kącie natarcia, dla którego współczynnik siły oporu Cx ma wartość minimalną: α=αCx min. W wyniku niewielkiego zwiększenia kąta natarcia:;stosunek Cz/Cx wzrośnie;stosunek Cz/Cx zmaleje;stosunek Cz/Cx nie zmieni się;doskonałość płatowca nie zmieni się
2037;PL080-0308;Lot odbywa się na kącie natarcia, dla którego współczynnik siły oporu Cx ma wartość minimalną: α=αCx min. W wyniku niewielkiego zwiększenia kąta natarcia:;doskonałość płatowca wzrośnie;doskonałość płatowca zmaleje;doskonałość płatowca nie zmieni się;stosunek Cz/Cx zmaleje
2038;PL080-0309;Na rodzaj korkociągu główny wpływ mają następujące czynniki:;"-położenie środka ciężkości szybowca; - rozłożenie mas na szybowcu; -usytuowanie i wielkość usterzeń";"-położenie środka ciężkości szybowca; - rozłożenie mas na szybowcu; - ustawienie klapki wyważającej";"-rozłożenie mas na szybowcu; - ustawienie klapki wyważającej ; - usytuowanie i wielkość usterzeń";"-ustawienie klapki wyważającej ; - położenie środka ciężkości szybowca; - usytuowanie i wielkość usterzeń"
2039;PL080-0310;Najmniejsze opadanie ma szybowiec lecący z prędkością:;ekonomiczną;optymalną;minimalną;"różna, zależną od tego, czy leci „z wiatrem” czy „pod wiatr"""
2040;PL080-0311;Największa odległość między linią szkieletową i cięciwą profilu to:;strzałka profilu;grubość profilu;wysokość profilu;cięciwa profilu
2041;PL080-0312;Największą doskonałość w powietrzu spokojnym ma szybowiec lecący z prędkością:;optymalną;minimalną;Mc Credy’ego;ekonomiczną
2042;PL080-0314;Objawem lotu szybowca w fazie przeciągnięcia jest zazwyczaj:;"-występowanie drgań szybowca lub sterów; - samoczynne zwiększanie pochylenia";"-występowanie drgań szybowca lub sterów; -samoczynne zwiększanie prędkości postępowej";"-zmniejszanie prędkości opadania; - samoczynne zwiększanie prędkości postępowej";"-samoczynne zwiększanie pochylenia; - zmniejszanie prędkości opadania"
2043;PL080-0315;Otworzenie hamulców aerodynamicznych podczas lotu ze stałym wychyleniem drążka sterowego powoduje:;znaczące zwiększenie opadania i nieznaczny spadek prędkości postępowej szybowca;znaczące zmniejszenie prędkości postępowej z niewielkim wpływem na opadanie szybowca;tylko zmniejszenie prędkości postępowej szybowca;silny moment zadzierający szybowiec
2044;PL080-0316;Pociągnięcie drążka na siebie powoduje:;"wzrost współczynnika obciążenia szybowca ""n""";"zmniejszenie współczynnika obciążenia szybowca ""n""";"wzrost współczynnika ‘CZ’ , co powoduje spadek współczynnika obciążenia ""n""";"zmianę wartości współczynnika obciążenia ""n"" z dodatniego na ujemny"
2045;PL080-0317;Podczas analizy stateczności szybowca niezbędne jest uwzględnienie:;równowagi sił i momentów działających na szybowiec;równowagi sił działających na szybowiec;równowagi momentów działających na szybowiec;tylko rozkładu mas na szybowcu
2046;PL080-0318;Podczas rozbiegu szybowca na holu za samolotem wiatr wieje z prawej strony. Jak będzie się zachowywać szybowiec?;będzie unosił lewe skrzydło i skręcał w prawą stronę;będzie unosił prawe skrzydło i skręcał w prawą stronę;będzie unosił lewe skrzydło i skręcał w lewą stronę;będzie unosił prawe skrzydło i skręcał w lewą stronę
2047;PL080-0319;Podczas rozbiegu szybowca na holu za samolotem wiatr wieje z prawej strony. Jak należy wychylić stery w pierwszej fazie rozbiegu, aby bezpiecznie wystartować?;należy drążek sterowy przechylić w lewo i wcisnąć lewy pedał steru kierunku;należy drążek sterowy przechylić w prawo i wcisnąć lewy pedał steru kierunku;należy drążek sterowy przechylić w lewo i wcisnąć prawy pedał steru kierunku;należy drążek sterowy przechylić w prawo i wcisnąć prawy pedał steru kierunku
2048;PL080-0320;Podczas rozbiegu szybowca przy starcie za wyciągarką wieje silny wiatr z prawej strony. Jak będzie się zachowywać szybowiec?;będzie unosił prawe skrzydło i skręcał w prawą stronę;będzie unosił lewe skrzydło i skręcał w prawą stronę;będzie unosił lewe skrzydło i skręcał w lewą stronę;będzie unosił prawe skrzydło i skręcał w lewą stronę
2049;PL080-0321;Podczas rozbiegu szybowca przy starcie za wyciągarką wieje silny wiatr z prawej strony. Jak należy wychylić stery w pierwszej fazie rozbiegu, aby bezpiecznie wystartować?;należy drążek sterowy przechylić w prawo i wcisnąć lewy pedał steru kierunku;należy drążek sterowy przechylić w lewo i wcisnąć prawy pedał steru kierunku;należy drążek sterowy przechylić w prawo i wcisnąć prawy pedał steru kierunku;należy drążek sterowy przechylić w lewo i wcisnąć lewy pedał steru kierunku
2050;PL080-0322;Przeciągnięciem szybowca nazywamy stan w którym:;lot odbywa się na nadkrytycznym kącie natarcia;lot odbywa się na krytycznym kącie natarcia;lot odbywa się na podkrytycznym kącie natarcia;szybowiec nie reaguje na wychylenia sterów z powodu zbyt małej prędkości
2051;PL080-0325;Przyrost momentu pochylającego szybowiec ‘ΔM’ powstały w wyniku wychylenia drążka wynosi ΔM = ΔPzh*1h, gdzie:;lH – odległość między środkiem ciężkości szybowca i środkiem aerodynamicznym usterzenia poziomego ΔPZH – przyrost siły nośnej na usterzeniu wysokości;lH – odległość między środkiem aerodynamicznym skrzydła i środkiem aerodynamicznym usterzenia poziomego ΔPZH – przyrost siły nośnej na usterzeniu wysokości;lH – odległość między środkiem aerodynamicznym skrzydła i środkiem aerodynamicznym usterzenia poziomego ΔPZH – przyrost siły aerodynamicznej na usterzeniu wysokości;lH – odległość między środkiem ciężkości szybowca i środkiem aerodynamicznym usterzenia poziomego ΔPZH – przyrost siły aerodynamicznej na usterzeniu wysokości
2052;PL080-0326;Rozpatrując stateczność szybowca w układzie współrzędnych OXYZ zakładamy, że wszystkie trzy osie układu przechodzą przez:;środek ciężkości szybowca;środek aerodynamiczny płata;środek aerodynamiczny szybowca;środek równowagi obojętnej szybowca
2053;PL080-0329;Stan równowagi, w której ciało się zwykle znajduje i do której powraca zawsze po wytrąceniu go ze stanu równowagi nazywamy:;równowagą stałą;równowagą chwiejną;równowagą obojętną;równowagą dynamiczną
2054;PL080-0330;Stateczność dynamiczna boczna zależy głównie od:;"- kąta wzniosu skrzydeł; - powierzchni usterzenia pionowego; - odległości środka aerodynamicznego usterzenia pionowego od środka ciężkości szybowca";"- kąta wzniosu skrzydeł; - powierzchni usterzenia pionowego; - wielkości usterzenia poziomego";"- powierzchni usterzenia pionowego; - wielkości usterzenia poziomego; - odległości środka aerodynamicznego usterzenia pionowego od środka ciężkości szybowca";"- wielkości usterzenia poziomego; - odległości środka aerodynamicznego usterzenia pionowego od środka ciężkości szybowca; - kąta wzniosu skrzydeł"
2055;PL080-0331;Stateczność dynamiczna podłużna zależy głównie od:;"- rozkładu mas na szybowcu; - wielkości statecznika poziomego; - odległości środka aerodynamicznego usterzenia poziomego od środka ciężkości szybowca";"- rozkładu mas na szybowcu; -wielkości statecznika poziomego; - wielkości usterzenia pionowego";"- wielkości statecznika poziomego; - wielkości usterzenia pionowego; - odległości środka aerodynamicznego usterzenia poziomego od środka ciężkości szybowca";"- wielkości usterzenia pionowego; - odległości środka aerodynamicznego usterzenia poziomego od środka ciężkości szybowca; - rozkładu mas na szybowcu"
2056;PL080-0332;Stateczność dynamiczna to:;zdolność do samoczynnego powrotu szybowca do położenia równowagi, gdy przestaną działać zakłócenia;zdolność do zachowania stanu równowagi i przeciwdziałania jego zmianom;zdolność do zmiany stanu ustalonego lotu pod wpływem wychylenia odpowiedniego steru;zdolność do utrzymania kontroli nad szybowcem na który działają zewnętrzne obciążenia dynamiczne
2057;PL080-0333;Stateczność statyczna kierunkowa zależy głównie od:;"- wielkości usterzenia pionowego; - odległości usterzenia od środka ciężkości";"- wielkości usterzenia pionowego; - powierzchni skrzydła";"- odległości usterzenia od środka ciężkości; - ciężaru szybowca";"- powierzchni skrzydła; - ciężaru szybowca"
2058;PL080-0334;Stateczność statyczna podłużna zależy głównie od:;"- położenia środka ciężkości szybowca; - wielkości statecznika poziomego; - odległości środka aerodynamicznego usterzenia poziomego od środka ciężkości szybowca";"- położenia środka ciężkości szybowca; - wielkości statecznika poziomego; - wielkości usterzenia pionowego";"- wielkości statecznika poziomego; - wielkość usterzenia pionowego; - odległości środka aerodynamicznego usterzenia poziomego od środka ciężkości szybowca";"- wielkość usterzenia pionowego; - odległości środka aerodynamicznego usterzenia poziomego od środka ciężkości szybowca; - położenia środka ciężkości szybowca"
2059;PL080-0335;Stateczność statyczna poprzeczna zależy głównie od:;"- kąta wzniosu skrzydła; - wielkości usterzenia pionowego; - układu grzbietopłata lub dolnopłata";"- kąta wzniosu skrzydła; - wielkości usterzenia pionowego; - położenia środka ciężkości szybowca";"- wielkości usterzenia pionowego; - położenia środka ciężkości szybowca; - układu grzbietopłata lub dolnopłata";"- położenia środka ciężkości szybowca; - układu grzbietopłata lub dolnopłata; - kąta wzniosu skrzydła"
2060;PL080-0336;Stateczność statyczna to:;zdolność do zachowania stanu równowagi i przeciwdziałania jego zmianom;zdolność do zmiany stanu ustalonego lotu pod wpływem wychylenia odpowiedniego steru;zdolność do utrzymania kontroli nad szybowcem na który działają zewnętrzne obciążenia dynamiczne;zdolność do samoczynnego powrotu szybowca do położenia równowagi, gdy przestaną działać zakłócenia
2061;PL080-0337;Sterowność to:;zdolność do zmiany stanu ustalonego lotu pod wpływem wychylenia odpowiedniego steru;zdolność do wykonywania obszernych ruchów drążkiem sterowym i orczykami;zdolność do samoczynnego powrotu szybowca do położenia równowagi, gdy przestaną działać zakłócenia;zdolność do zachowania stanu równowagi i przeciwdziałania jego zmianom
